Year,Month,GEO,Product Category,Products,VALUE,Taxable,Total tax rate,Value after tax,Essential,COORDINATE,UOM,QualityScore,NormPrice,Essential_Bonus,Region_Weight,Month_Weight,Year_Trend,Review
2017,January,Province 1,Meat & Poultry,"Beef stewing cuts, per kilogram",12.66,No,11.0,12.66,Essential,11.1,Dollars,6,1.3909160237700489,0,0.2,-0.2,0.0,4.6
2017,January,Province 1,Meat & Poultry,"Beef striploin cuts, per kilogram",21.94,No,11.0,21.94,Essential,11.2,Dollars,9,3.1780237682381984,0,0.2,-0.2,0.0,7.0
2017,January,Province 1,Meat & Poultry,"Beef top sirloin cuts, per kilogram",13.44,No,11.0,13.44,Essential,11.3,Dollars,7,1.5411255109128457,0,0.2,-0.2,0.0,5.4
2017,January,Province 1,Meat & Poultry,"Beef rib cuts, per kilogram",20.17,No,11.0,20.17,Essential,11.41,Dollars,8,2.83716377818339,0,0.2,-0.2,0.0,7.6
2017,January,Province 1,Meat & Poultry,"Ground beef, per kilogram",9.12,No,11.0,9.12,Essential,11.4,Dollars,5,0.7091960436604314,0,0.2,-0.2,0.0,3.0
2017,January,Province 1,Meat & Poultry,"Pork loin cuts, per kilogram",7.34,No,11.0,7.34,Essential,11.5,Dollars,6,0.36641029094994604,0,0.2,-0.2,0.0,3.2
2017,January,Province 1,Meat & Poultry,"Pork rib cuts, per kilogram",7.37,No,11.0,7.37,Essential,11.6,Dollars,8,0.37218757891697674,0,0.2,-0.2,0.0,5.7
2017,January,Province 1,Meat & Poultry,"Pork shoulder cuts, per kilogram",4.76,No,11.0,4.76,Essential,11.42,Dollars,6,-0.1304364742146903,0,0.2,-0.2,0.0,3.6
2017,January,Province 1,Meat & Poultry,"Whole chicken, per kilogram",5.15,No,11.0,5.15,Essential,11.7,Dollars,5,-0.055331730643291666,0,0.2,-0.2,0.0,2.2
2017,January,Province 1,Meat & Poultry,"Chicken breasts, per kilogram",11.38,No,11.0,11.38,Essential,11.8,Dollars,5,1.1444184038434078,0,0.2,-0.2,0.0,3.9
2017,January,Province 1,Meat & Poultry,"Chicken thigh, per kilogram",8.93,No,11.0,8.93,Essential,11.9,Dollars,5,0.6726065532025707,0,0.2,-0.2,0.0,2.8
2017,January,Province 1,Meat & Poultry,"Chicken drumsticks, per kilogram",5.99,No,11.0,5.99,Essential,11.43,Dollars,5,0.10643233243356665,0,0.2,-0.2,0.0,2.3
2017,January,Province 1,Meat & Poultry,"Bacon, 500 grams",5.03,Yes,11.0,5.58,Essential,11.1,Dollars,5,-0.0784408825114143,0,0.2,-0.2,0.0,2.7
2017,January,Province 1,Meat & Poultry,"Wieners, 400 grams",3.12,Yes,11.0,3.46,Essential,11.11,Dollars,5,-0.44626154974569937,0,0.2,-0.2,0.0,1.0
2017,January,Province 1,Meat & Poultry,"Salmon, per kilogram",24.83,No,11.0,24.83,Essential,11.78,Dollars,5,3.7345691757288177,0,0.2,-0.2,0.0,4.2
2017,January,Province 1,Meat & Poultry,"Shrimp, 300 grams",6.59,No,11.0,6.59,Non-Essential,11.79,Dollars,5,0.22197809177417968,1,0.2,-0.2,0.0,3.3
2017,January,Province 1,Meat & Poultry,"Canned salmon, 213 grams",3.03,No,11.0,3.03,Essential,11.44,Dollars,5,-0.46359341364679135,0,0.2,-0.2,0.0,1.4
2017,January,Province 1,Meat & Poultry,"Canned tuna, 170 grams",1.44,No,11.0,1.44,Essential,11.12,Dollars,5,-0.769789675899416,0,0.2,-0.2,0.0,2.2
2017,January,Province 1,Meat & Poultry,"Meatless burgers, 226 grams",4.19,Yes,11.0,4.65,Non-Essential,11.8,Dollars,5,-0.2402049455882726,1,0.2,-0.2,0.0,2.7
2017,January,Province 1,Dairy & Eggs,"Milk, 1 litre",2.17,No,11.0,2.17,Essential,11.13,Dollars,5,-0.6292090020350034,0,0.2,-0.2,0.0,1.0
2017,January,Province 1,Dairy & Eggs,"Milk, 2 litres",4.04,No,11.0,4.04,Essential,11.14,Dollars,5,-0.269091385423426,0,0.2,-0.2,0.0,3.6
2017,January,Province 1,Dairy & Eggs,"Milk, 4 litres",5.13,No,11.0,5.13,Essential,11.15,Dollars,5,-0.05918325595464552,0,0.2,-0.2,0.0,2.4
2017,January,Province 1,Dairy & Eggs,"Soy milk, 1.89 litres",3.71,No,11.0,3.71,Essential,11.81,Dollars,5,-0.33264155306076315,0,0.2,-0.2,0.0,2.4
2017,January,Province 1,Dairy & Eggs,"Nut milk, 1.89 litres",3.79,No,11.0,3.79,Essential,11.82,Dollars,5,-0.31723545181534807,0,0.2,-0.2,0.0,1.2
2017,January,Province 1,Dairy & Eggs,"Cream, 1 litre",3.35,No,11.0,3.35,Essential,11.16,Dollars,5,-0.401969008665131,0,0.2,-0.2,0.0,1.8
2017,January,Province 1,Dairy & Eggs,"Butter, 454 grams",4.1,No,11.0,4.1,Essential,11.17,Dollars,5,-0.2575368094893647,0,0.2,-0.2,0.0,2.5
2017,January,Province 1,Cooking Essentials,"Margarine, 907 grams",4.23,No,11.0,4.23,Essential,11.83,Dollars,5,-0.23250189496556506,0,0.2,-0.2,0.0,1.5
